"","species_id","genus","species","year","plot_id","plot_type"
"1","NL","Neotoma","albigula",1978,2,"Control"
"2","NL","Neotoma","albigula",1978,2,"Control"
"3","NL","Neotoma","albigula",1978,2,"Control"
"4","NL","Neotoma","albigula",1978,2,"Control"
"5","NL","Neotoma","albigula",1978,2,"Control"
"6","NL","Neotoma","albigula",1978,2,"Control"
"7","NL","Neotoma","albigula",1979,2,"Control"
"8","NL","Neotoma","albigula",1979,2,"Control"
"9","NL","Neotoma","albigula",1979,2,"Control"
"10","NL","Neotoma","albigula",1979,2,"Control"
"11","NL","Neotoma","albigula",1979,2,"Control"
"12","NL","Neotoma","albigula",1980,2,"Control"
"13","NL","Neotoma","albigula",1980,2,"Control"
"14","NL","Neotoma","albigula",1980,2,"Control"
"15","NL","Neotoma","albigula",1981,2,"Control"
"16","NL","Neotoma","albigula",1981,2,"Control"
"17","NL","Neotoma","albigula",1981,2,"Control"
"18","NL","Neotoma","albigula",1982,2,"Control"
"19","NL","Neotoma","albigula",1982,2,"Control"
"20","NL","Neotoma","albigula",1982,2,"Control"
"21","NL","Neotoma","albigula",1982,2,"Control"
"22","NL","Neotoma","albigula",1982,2,"Control"
"23","NL","Neotoma","albigula",1982,2,"Control"
"24","NL","Neotoma","albigula",1982,2,"Control"
"25","NL","Neotoma","albigula",1982,2,"Control"
"26","NL","Neotoma","albigula",1982,2,"Control"
"27","NL","Neotoma","albigula",1982,2,"Control"
"28","NL","Neotoma","albigula",1982,2,"Control"
"29","NL","Neotoma","albigula",1982,2,"Control"
"30","NL","Neotoma","albigula",1983,2,"Control"
"31","NL","Neotoma","albigula",1983,2,"Control"
"32","NL","Neotoma","albigula",1983,2,"Control"
"33","NL","Neotoma","albigula",1983,2,"Control"
"34","NL","Neotoma","albigula",1983,2,"Control"
"35","NL","Neotoma","albigula",1983,2,"Control"
"36","NL","Neotoma","albigula",1983,2,"Control"
"37","NL","Neotoma","albigula",1983,2,"Control"
"38","NL","Neotoma","albigula",1983,2,"Control"
"39","NL","Neotoma","albigula",1983,2,"Control"
"40","NL","Neotoma","albigula",1984,2,"Control"
"41","NL","Neotoma","albigula",1984,2,"Control"
"42","NL","Neotoma","albigula",1984,2,"Control"
"43","NL","Neotoma","albigula",1984,2,"Control"
"44","NL","Neotoma","albigula",1984,2,"Control"
"45","NL","Neotoma","albigula",1984,2,"Control"
"46","NL","Neotoma","albigula",1984,2,"Control"
"47","NL","Neotoma","albigula",1985,2,"Control"
"48","NL","Neotoma","albigula",1985,2,"Control"
"49","NL","Neotoma","albigula",1985,2,"Control"
"50","NL","Neotoma","albigula",1985,2,"Control"
"51","NL","Neotoma","albigula",1985,2,"Control"
"52","NL","Neotoma","albigula",1985,2,"Control"
"53","NL","Neotoma","albigula",1985,2,"Control"
"54","NL","Neotoma","albigula",1986,2,"Control"
"55","NL","Neotoma","albigula",1986,2,"Control"
"56","NL","Neotoma","albigula",1986,2,"Control"
"57","NL","Neotoma","albigula",1986,2,"Control"
"58","NL","Neotoma","albigula",1986,2,"Control"
"59","NL","Neotoma","albigula",1986,2,"Control"
"60","NL","Neotoma","albigula",1986,2,"Control"
"61","NL","Neotoma","albigula",1986,2,"Control"
"62","NL","Neotoma","albigula",1986,2,"Control"
"63","NL","Neotoma","albigula",1986,2,"Control"
"64","NL","Neotoma","albigula",1987,2,"Control"
"65","NL","Neotoma","albigula",1987,2,"Control"
"66","NL","Neotoma","albigula",1987,2,"Control"
"67","NL","Neotoma","albigula",1987,2,"Control"
"68","NL","Neotoma","albigula",1987,2,"Control"
"69","NL","Neotoma","albigula",1987,2,"Control"
"70","NL","Neotoma","albigula",1987,2,"Control"
"71","NL","Neotoma","albigula",1987,2,"Control"
"72","NL","Neotoma","albigula",1987,2,"Control"
"73","NL","Neotoma","albigula",1987,2,"Control"
"74","NL","Neotoma","albigula",1987,2,"Control"
"75","NL","Neotoma","albigula",1987,2,"Control"
"76","NL","Neotoma","albigula",1987,2,"Control"
"77","NL","Neotoma","albigula",1987,2,"Control"
"78","NL","Neotoma","albigula",1987,2,"Control"
"79","NL","Neotoma","albigula",1987,2,"Control"
"80","NL","Neotoma","albigula",1987,2,"Control"
"81","NL","Neotoma","albigula",1987,2,"Control"
"82","NL","Neotoma","albigula",1988,2,"Control"
"83","NL","Neotoma","albigula",1988,2,"Control"
"84","NL","Neotoma","albigula",1988,2,"Control"
"85","NL","Neotoma","albigula",1988,2,"Control"
"86","NL","Neotoma","albigula",1988,2,"Control"
"87","NL","Neotoma","albigula",1988,2,"Control"
"88","NL","Neotoma","albigula",1988,2,"Control"
"89","NL","Neotoma","albigula",1989,2,"Control"
"90","NL","Neotoma","albigula",1989,2,"Control"
"91","NL","Neotoma","albigula",1990,2,"Control"
"92","NL","Neotoma","albigula",1990,2,"Control"
"93","NL","Neotoma","albigula",1990,2,"Control"
"94","NL","Neotoma","albigula",1990,2,"Control"
"95","NL","Neotoma","albigula",1991,2,"Control"
"96","NL","Neotoma","albigula",1991,2,"Control"
"97","NL","Neotoma","albigula",1991,2,"Control"
"98","NL","Neotoma","albigula",1991,2,"Control"
"99","NL","Neotoma","albigula",1991,2,"Control"
"100","NL","Neotoma","albigula",1991,2,"Control"
"101","NL","Neotoma","albigula",1991,2,"Control"
"102","NL","Neotoma","albigula",1991,2,"Control"
"103","NL","Neotoma","albigula",1991,2,"Control"
"104","NL","Neotoma","albigula",1992,2,"Control"
"105","NL","Neotoma","albigula",1992,2,"Control"
"106","NL","Neotoma","albigula",1992,2,"Control"
"107","NL","Neotoma","albigula",1992,2,"Control"
"108","NL","Neotoma","albigula",1993,2,"Control"
"109","NL","Neotoma","albigula",1993,2,"Control"
"110","NL","Neotoma","albigula",1993,2,"Control"
"111","NL","Neotoma","albigula",1993,2,"Control"
"112","NL","Neotoma","albigula",1993,2,"Control"
"113","NL","Neotoma","albigula",1993,2,"Control"
"114","NL","Neotoma","albigula",1994,2,"Control"
"115","NL","Neotoma","albigula",1995,2,"Control"
"116","NL","Neotoma","albigula",1995,2,"Control"
"117","NL","Neotoma","albigula",1996,2,"Control"
"118","NL","Neotoma","albigula",1996,2,"Control"
"119","NL","Neotoma","albigula",1996,2,"Control"
"120","NL","Neotoma","albigula",1997,2,"Control"
"121","NL","Neotoma","albigula",1997,2,"Control"
"122","NL","Neotoma","albigula",1997,2,"Control"
"123","NL","Neotoma","albigula",1997,2,"Control"
"124","NL","Neotoma","albigula",1997,2,"Control"
"125","NL","Neotoma","albigula",1997,2,"Control"
"126","NL","Neotoma","albigula",1997,2,"Control"
"127","NL","Neotoma","albigula",1997,2,"Control"
"128","NL","Neotoma","albigula",1998,2,"Control"
"129","NL","Neotoma","albigula",1998,2,"Control"
